order_id,arrival_minute,deadline_minute,restaurant_zone,delivery_zone,solomon_demand,prep_time_min,base_fee_mxn,tip_mxn
59,9,44,Centrito Valle (San Pedro),Cumbres,28,9,24.05,20
92,9,44,Valle Oriente (San Pedro),Santa Catarina,2,5,23.57,35
45,17,52,San Jerónimo,Cumbres,16,12,20.85,10
14,17,52,Valle Oriente (San Pedro),San Jerónimo,20,10,26.43,20
42,17,52,Tec de Monterrey (Garza Sada),Santa Catarina,5,6,18.51,50
63,18,53,Cumbres,Apodaca (Industrial),10,5,19.12,35
5,18,53,Tec de Monterrey (Garza Sada),Valle Oriente (San Pedro),26,11,21.4,0
72,19,54,Centrito Valle (San Pedro),Tec de Monterrey (Garza Sada),25,8,21.98,0
27,20,55,Centro MTY (Barrio Antiguo),Cumbres,16,8,18.58,20
33,20,55,Centro MTY (Barrio Antiguo),Tec de Monterrey (Garza Sada),11,8,23.88,0
28,21,56,Tec de Monterrey (Garza Sada),Centrito Valle (San Pedro),16,12,26.16,50
95,21,56,Valle Oriente (San Pedro),Apodaca (Industrial),20,12,26.97,20
36,22,57,Valle Oriente (San Pedro),Centrito Valle (San Pedro),5,12,20.43,10
83,24,59,Centro MTY (Barrio Antiguo),Cumbres,11,8,22.3,10
39,24,59,Cumbres,Centro MTY (Barrio Antiguo),31,5,22.03,0
2,27,62,Centrito Valle (San Pedro),Centro MTY (Barrio Antiguo),7,6,23.9,0
31,27,62,Cumbres,Valle Oriente (San Pedro),27,9,21.99,10
69,27,62,Centro MTY (Barrio Antiguo),Apodaca (Industrial),6,8,20.67,20
65,28,63,Centrito Valle (San Pedro),Apodaca (Industrial),20,7,18.42,10
47,28,63,Tec de Monterrey (Garza Sada),Centro MTY (Barrio Antiguo),27,10,18.57,10
52,28,63,Centrito Valle (San Pedro),Cumbres,9,11,19.31,10
82,30,65,Cumbres,Centrito Valle (San Pedro),16,9,22.06,20
98,31,66,Centro MTY (Barrio Antiguo),San Jerónimo,10,9,21.36,35
62,31,66,Centro MTY (Barrio Antiguo),Valle Oriente (San Pedro),19,9,19.62,10
15,33,68,Centrito Valle (San Pedro),Tec de Monterrey (Garza Sada),8,10,22.01,0
29,34,69,Valle Oriente (San Pedro),Centrito Valle (San Pedro),9,7,24.6,35
21,34,69,Tec de Monterrey (Garza Sada),Apodaca (Industrial),11,11,23.96,10
12,34,69,Centro MTY (Barrio Antiguo),Centrito Valle (San Pedro),19,7,23.34,0
11,36,71,San Jerónimo,San Nicolás,12,7,21.7,0
44,37,72,Centrito Valle (San Pedro),Apodaca (Industrial),18,5,19.65,0
23,37,72,Centro MTY (Barrio Antiguo),San Nicolás,29,6,20.94,0
75,37,72,Centrito Valle (San Pedro),Cumbres,18,5,19.08,10
30,39,74,Centrito Valle (San Pedro),Cumbres,21,11,27.64,35
64,40,75,Cumbres,Centrito Valle (San Pedro),9,5,26.35,10
76,40,75,Cumbres,San Nicolás,13,11,24.06,10
88,40,75,Tec de Monterrey (Garza Sada),San Jerónimo,9,12,24.11,20
16,41,76,Valle Oriente (San Pedro),San Nicolás,19,8,24.55,10
19,41,76,Centrito Valle (San Pedro),Valle Oriente (San Pedro),17,12,18.91,0
61,41,76,Tec de Monterrey (Garza Sada),Centrito Valle (San Pedro),13,11,26.29,0
71,42,77,San Jerónimo,San Nicolás,15,9,26.21,20
73,42,77,Tec de Monterrey (Garza Sada),Cumbres,9,10,24.41,10
7,44,79,Centro MTY (Barrio Antiguo),Cumbres,5,5,25.3,10
67,45,80,Centro MTY (Barrio Antiguo),Apodaca (Industrial),25,7,27.26,0
99,45,80,Tec de Monterrey (Garza Sada),Valle Oriente (San Pedro),9,7,20.31,10
38,45,80,San Jerónimo,Apodaca (Industrial),16,12,26.64,0
